timestamp,latitude,longitude,rainfall_mm_hr
2024-07-01T00:00:00,18.87,72.77,0.32
2024-07-01T00:00:00,18.87,72.79,0.19
2024-07-01T00:00:00,18.87,72.81,0.17
2024-07-01T00:00:00,18.87,72.83,0.17
2024-07-01T00:00:00,18.87,72.85,0.55
2024-07-01T00:00:00,18.87,72.87,0.33
2024-07-01T00:00:00,18.87,72.89,0.13
2024-07-01T00:00:00,18.87,72.91,0.27
2024-07-01T00:00:00,18.87,72.93,0.22
2024-07-01T00:00:00,18.87,72.95,0.02
2024-07-01T00:00:00,18.87,72.97,0.07
2024-07-01T00:00:00,18.87,72.99,0.22
2024-07-01T00:00:00,18.89,72.77,0.58
2024-07-01T00:00:00,18.89,72.79,0.18
2024-07-01T00:00:00,18.89,72.81,0.13
2024-07-01T00:00:00,18.89,72.83,0.22
2024-07-01T00:00:00,18.89,72.85,0.12
2024-07-01T00:00:00,18.89,72.87,0.15
2024-07-01T00:00:00,18.89,72.89,0.19
2024-07-01T00:00:00,18.89,72.91,0.07
2024-07-01T00:00:00,18.89,72.93,0.32
2024-07-01T00:00:00,18.89,72.95,0.06
2024-07-01T00:00:00,18.89,72.97,0.05
2024-07-01T00:00:00,18.89,72.99,0.2
2024-07-01T00:00:00,18.91,72.77,0.38
2024-07-01T00:00:00,18.91,72.79,0.24
2024-07-01T00:00:00,18.91,72.81,0.19
2024-07-01T00:00:00,18.91,72.83,0.16
2024-07-01T00:00:00,18.91,72.85,0.14
2024-07-01T00:00:00,18.91,72.87,0.4
2024-07-01T00:00:00,18.91,72.89,0.24
2024-07-01T00:00:00,18.91,72.91,0.14
2024-07-01T00:00:00,18.91,72.93,0.1
2024-07-01T00:00:00,18.91,72.95,0.28
2024-07-01T00:00:00,18.91,72.97,0.36
2024-07-01T00:00:00,18.91,72.99,0.33
2024-07-01T00:00:00,18.93,72.77,0.11
2024-07-01T00:00:00,18.93,72.79,0.17
2024-07-01T00:00:00,18.93,72.81,0.14
2024-07-01T00:00:00,18.93,72.83,0.18
2024-07-01T00:00:00,18.93,72.85,0.35
2024-07-01T00:00:00,18.93,72.87,0.48
2024-07-01T00:00:00,18.93,72.89,0.25
2024-07-01T00:00:00,18.93,72.91,0.11
2024-07-01T00:00:00,18.93,72.93,0.18
2024-07-01T00:00:00,18.93,72.95,0.49
2024-07-01T00:00:00,18.93,72.97,0.19
2024-07-01T00:00:00,18.93,72.99,0.14
2024-07-01T00:00:00,18.95,72.77,0.19
2024-07-01T00:00:00,18.95,72.79,0.28
2024-07-01T00:00:00,18.95,72.81,0.1
2024-07-01T00:00:00,18.95,72.83,0.13
2024-07-01T00:00:00,18.95,72.85,0.37
2024-07-01T00:00:00,18.95,72.87,0.25
2024-07-01T00:00:00,18.95,72.89,0.2
2024-07-01T00:00:00,18.95,72.91,0.36
2024-07-01T00:00:00,18.95,72.93,0.1
2024-07-01T00:00:00,18.95,72.95,0.14
2024-07-01T00:00:00,18.95,72.97,0.22
2024-07-01T00:00:00,18.95,72.99,0.21
2024-07-01T00:00:00,18.97,72.77,0.06
2024-07-01T00:00:00,18.97,72.79,0.15
2024-07-01T00:00:00,18.97,72.81,0.18
2024-07-01T00:00:00,18.97,72.83,0.27
2024-07-01T00:00:00,18.97,72.85,0.24
2024-07-01T00:00:00,18.97,72.87,0.18
2024-07-01T00:00:00,18.97,72.89,0.02
2024-07-01T00:00:00,18.97,72.91,0.18
2024-07-01T00:00:00,18.97,72.93,0.19
2024-07-01T00:00:00,18.97,72.95,0.78
2024-07-01T00:00:00,18.97,72.97,0.15
2024-07-01T00:00:00,18.97,72.99,0.22
2024-07-01T00:00:00,18.99,72.77,0.48
