timestamp,latitude,longitude,rainfall_mm_hr,rainfall_normalized
2024-07-01T00:00:00,18.87,72.77,0.32,0.0029373967321461355
2024-07-01T00:00:00,18.87,72.79,0.19,0.0017440793097117681
2024-07-01T00:00:00,18.87,72.81,0.17,0.0015604920139526345
2024-07-01T00:00:00,18.87,72.83,0.17,0.0015604920139526345
2024-07-01T00:00:00,18.87,72.85,0.55,0.005048650633376171
2024-07-01T00:00:00,18.87,72.87,0.33,0.0030291903800257025
2024-07-01T00:00:00,18.87,72.89,0.13,0.0011933174224343676
2024-07-01T00:00:00,18.87,72.91,0.27,0.002478428492748302
2024-07-01T00:00:00,18.87,72.93,0.22,0.002019460253350468
2024-07-01T00:00:00,18.87,72.95,0.02,0.00018358729575913347
2024-07-01T00:00:00,18.87,72.97,0.07,0.0006425555351569672
2024-07-01T00:00:00,18.87,72.99,0.22,0.002019460253350468
2024-07-01T00:00:00,18.89,72.77,0.58,0.005324031577014871
2024-07-01T00:00:00,18.89,72.79,0.18,0.001652285661832201
2024-07-01T00:00:00,18.89,72.81,0.13,0.0011933174224343676
2024-07-01T00:00:00,18.89,72.83,0.22,0.002019460253350468
2024-07-01T00:00:00,18.89,72.85,0.12,0.0011015237745548008
2024-07-01T00:00:00,18.89,72.87,0.15,0.001376904718193501
2024-07-01T00:00:00,18.89,72.89,0.19,0.0017440793097117681
2024-07-01T00:00:00,18.89,72.91,0.07,0.0006425555351569672
2024-07-01T00:00:00,18.89,72.93,0.32,0.0029373967321461355
2024-07-01T00:00:00,18.89,72.95,0.06,0.0005507618872774004
2024-07-01T00:00:00,18.89,72.97,0.05,0.0004589682393978337
2024-07-01T00:00:00,18.89,72.99,0.2,0.001835872957591335
2024-07-01T00:00:00,18.91,72.77,0.38,0.0034881586194235362
2024-07-01T00:00:00,18.91,72.79,0.24,0.0022030475491096016
2024-07-01T00:00:00,18.91,72.81,0.19,0.0017440793097117681
2024-07-01T00:00:00,18.91,72.83,0.16,0.0014686983660730677
2024-07-01T00:00:00,18.91,72.85,0.14,0.0012851110703139344
2024-07-01T00:00:00,18.91,72.87,0.4,0.00367174591518267
2024-07-01T00:00:00,18.91,72.89,0.24,0.0022030475491096016
2024-07-01T00:00:00,18.91,72.91,0.14,0.0012851110703139344
2024-07-01T00:00:00,18.91,72.93,0.1,0.0009179364787956674
2024-07-01T00:00:00,18.91,72.95,0.28,0.0025702221406278688
2024-07-01T00:00:00,18.91,72.97,0.36,0.003304571323664402
2024-07-01T00:00:00,18.91,72.99,0.33,0.0030291903800257025
2024-07-01T00:00:00,18.93,72.77,0.11,0.001009730126675234
2024-07-01T00:00:00,18.93,72.79,0.17,0.0015604920139526345
2024-07-01T00:00:00,18.93,72.81,0.14,0.0012851110703139344
2024-07-01T00:00:00,18.93,72.83,0.18,0.001652285661832201
2024-07-01T00:00:00,18.93,72.85,0.35,0.0032127776757848356
2024-07-01T00:00:00,18.93,72.87,0.48,0.004406095098219203
2024-07-01T00:00:00,18.93,72.89,0.25,0.002294841196989168
2024-07-01T00:00:00,18.93,72.91,0.11,0.001009730126675234
2024-07-01T00:00:00,18.93,72.93,0.18,0.001652285661832201
2024-07-01T00:00:00,18.93,72.95,0.49,0.00449788874609877
2024-07-01T00:00:00,18.93,72.97,0.19,0.0017440793097117681
2024-07-01T00:00:00,18.93,72.99,0.14,0.0012851110703139344
2024-07-01T00:00:00,18.95,72.77,0.19,0.0017440793097117681
2024-07-01T00:00:00,18.95,72.79,0.28,0.0025702221406278688
2024-07-01T00:00:00,18.95,72.81,0.1,0.0009179364787956674
2024-07-01T00:00:00,18.95,72.83,0.13,0.0011933174224343676
2024-07-01T00:00:00,18.95,72.85,0.37,0.003396364971543969
2024-07-01T00:00:00,18.95,72.87,0.25,0.002294841196989168
2024-07-01T00:00:00,18.95,72.89,0.2,0.001835872957591335
2024-07-01T00:00:00,18.95,72.91,0.36,0.003304571323664402
2024-07-01T00:00:00,18.95,72.93,0.1,0.0009179364787956674
2024-07-01T00:00:00,18.95,72.95,0.14,0.0012851110703139344
2024-07-01T00:00:00,18.95,72.97,0.22,0.002019460253350468
2024-07-01T00:00:00,18.95,72.99,0.21,0.0019276666054709015
2024-07-01T00:00:00,18.97,72.77,0.06,0.0005507618872774004
2024-07-01T00:00:00,18.97,72.79,0.15,0.001376904718193501
2024-07-01T00:00:00,18.97,72.81,0.18,0.001652285661832201
2024-07-01T00:00:00,18.97,72.83,0.27,0.002478428492748302
2024-07-01T00:00:00,18.97,72.85,0.24,0.0022030475491096016
2024-07-01T00:00:00,18.97,72.87,0.18,0.001652285661832201
2024-07-01T00:00:00,18.97,72.89,0.02,0.00018358729575913347
2024-07-01T00:00:00,18.97,72.91,0.18,0.001652285661832201
2024-07-01T00:00:00,18.97,72.93,0.19,0.0017440793097117681
2024-07-01T00:00:00,18.97,72.95,0.78,0.007159904534606206
2024-07-01T00:00:00,18.97,72.97,0.15,0.001376904718193501
2024-07-01T00:00:00,18.97,72.99,0.22,0.002019460253350468
2024-07-01T00:00:00,18.99,72.77,0.48,0.004406095098219203
2024-07-01T00:00:00,18.99,72.79,0.37,0.003396364971543969
2024-07-01T00:00:00,18.99,72.81,0.53,0.004865063337617037
2024-07-01T00:00:00,18.99,72.83,0.05,0.0004589682393978337
2024-07-01T00:00:00,18.99,72.85,0.08,0.0007343491830365339
2024-07-01T00:00:00,18.99,72.87,0.12,0.0011015237745548008
